ym,cpi
648,93.73
649,93.98
650,94.153
651,94.214
652,94.369
653,94.248
654,94.386
655,94.551
656,94.49
657,94.205
658,94.015
659,94.006
660,94.643
661,94.587
662,94.596
663,94.625
664,94.89
665,94.909
666,95.08
667,95.213
668,94.966
669,94.966
670,94.786
671,95.07
672,95.232
673,95.64
674,95.393
675,95.573
676,95.63
677,95.611
678,95.431
679,95.677
680,96.247
681,96.379
682,96.237
683,96.342
684,97.366
685,97.632
686,97.565
687,97.442
688,97.546
689,97.338
690,97.499
691,98.058
692,98.172
693,98.077
694,97.347
695,97.698
696,98.106
697,98.855
698,98.751
699,98.931
700,98.979
701,98.779
702,98.59
703,99.462
704,100.221
705,100.041
706,99.33
707,98.988
708,98.884
709,99.311
710,99.121
711,99.481
712,99.652
713,99.491
714,99.187
715,99.425
716,99.794
717,100.041
718,99.481
719,99.719
720,100.09
721,100.16
722,99.94
723,99.5
724,99.44
725,99.71
726,99.63
727,100.19
728,100.74
729,100.18
730,100.09
731,100.33
732,101.04
733,101.58
734,101.84
735,101.98
736,102.05
737,102.05
738,102.26
739,102.75
740,103.17
